IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
Xch_3dv;1.00000;1.00000;0.000
Xch_4dv;1.00000;1.00000;0.000
Xc_4d;1.00000;1.00000;0.000
Xc_6d;1.00000;1.00000;0.000
Xc_4dv;1.00000;1.00000;0.000
Xc_6dv;1.00000;1.00000;0.000
NsLi;1.00000;1.00000;0.000
NssBe;1.00000;1.00000;0.000
NssssBe;1.00000;1.00000;0.000
NssBH;1.00000;1.00000;0.000
NsssB;1.00000;1.00000;0.000
NssssB;1.00000;1.00000;0.000
NdCH2;1.00000;1.00000;0.000
NtCH;1.00000;1.00000;0.000
NdsCH;1.00000;1.00000;0.000
NddC;1.00000;1.00000;0.000
NtsC;1.00000;1.00000;0.000
NssssC;1.00000;1.00000;0.000
NsNH3;1.00000;1.00000;0.000
NsNH2;0.91967;1.00000;-0.004
NssNH2;1.00000;1.00000;0.000
NtN;1.00000;1.00000;0.000
NsssNH;1.00000;1.00000;0.000
NdsN;1.00000;1.00000;0.000
NddsN;1.00000;1.00000;0.000
NaasN;1.00000;1.00000;0.000
NssssN;1.00000;1.00000;0.000
NssO;1.00000;1.00000;0.000
NaaO;1.00000;1.00000;0.000
NsF;1.00000;1.00000;0.000
NsSiH3;1.00000;1.00000;0.000
NssSiH2;1.00000;1.00000;0.000
NsssSiH;1.00000;1.00000;0.000
NssssSi;1.00000;1.00000;0.000
NsPH2;1.00000;1.00000;0.000
NssPH;1.00000;1.00000;0.000
NsssP;1.00000;1.00000;0.000
NdsssP;1.00000;1.00000;0.000
NsssssP;1.00000;1.00000;0.000
NdS;1.00000;1.00000;0.000
NssS;0.74732;1.00000;0.008
NaaS;1.00000;1.00000;0.000
NdssS;1.00000;1.00000;0.000
NddssS;1.00000;1.00000;0.000
NsCl;1.00000;1.00000;0.000
NsGeH3;1.00000;1.00000;0.000
NssGeH2;1.00000;1.00000;0.000
NsssGeH;1.00000;1.00000;0.000
NssssGe;1.00000;1.00000;0.000
NsAsH2;1.00000;1.00000;0.000
NssAsH;1.00000;1.00000;0.000
NsssAs;1.00000;1.00000;0.000
NsssdAs;1.00000;1.00000;0.000
NsssssAs;1.00000;1.00000;0.000
NsSeH;1.00000;1.00000;0.000
NdSe;1.00000;1.00000;0.000
NssSe;1.00000;1.00000;0.000
NaaSe;1.00000;1.00000;0.000
NdssSe;1.00000;1.00000;0.000
NddssSe;1.00000;1.00000;0.000
NsBr;1.00000;1.00000;0.000
NsSnH3;1.00000;1.00000;0.000
NssSnH2;1.00000;1.00000;0.000
NsssSnH;1.00000;1.00000;0.000
NssssSn;1.00000;1.00000;0.000
NsI;1.00000;1.00000;0.000
NsPbH3;1.00000;1.00000;0.000
NssPbH2;1.00000;1.00000;0.000
NsssPbH;1.00000;1.00000;0.000
NssssPb;1.00000;1.00000;0.000
SsLi;1.00000;1.00000;0.000
SssBe;1.00000;1.00000;0.000
SssssBe;1.00000;1.00000;0.000
SssBH;1.00000;1.00000;0.000
SsssB;1.00000;1.00000;0.000
SssssB;1.00000;1.00000;0.000
SdCH2;1.00000;1.00000;0.000
StCH;1.00000;1.00000;0.000
SdsCH;1.00000;1.00000;0.000
SddC;1.00000;1.00000;0.000
StsC;1.00000;1.00000;0.000
SssssC;1.00000;1.00000;0.000
SsNH3;1.00000;1.00000;0.000
SssNH2;1.00000;1.00000;0.000
StN;1.00000;1.00000;0.000
SsssNH;1.00000;1.00000;0.000
SdsN;1.00000;1.00000;0.000
SddsN;1.00000;1.00000;0.000
SaasN;1.00000;1.00000;0.000
SssssN;1.00000;1.00000;0.000
SdO;0.93175;1.00000;-0.017
SssO;1.00000;1.00000;0.000
SaaO;1.00000;1.00000;0.000
SsF;1.00000;1.00000;0.000
SsSiH3;1.00000;1.00000;0.000
SssSiH2;1.00000;1.00000;0.000
SsssSiH;1.00000;1.00000;0.000
SssssSi;1.00000;1.00000;0.000
SsPH2;1.00000;1.00000;0.000
SssPH;1.00000;1.00000;0.000
SsssP;1.00000;1.00000;0.000
SdsssP;1.00000;1.00000;0.000
SsssssP;1.00000;1.00000;0.000
SdS;1.00000;1.00000;0.000
SssS;0.74854;1.00000;0.007
SaaS;1.00000;1.00000;0.000
SdssS;1.00000;1.00000;0.000
SddssS;1.00000;1.00000;0.000
SsCl;1.00000;1.00000;0.000
SsGeH3;1.00000;1.00000;0.000
