;Unnamed: 0;flavordb_id;smiles;applicability_domain;bitter_prob;sweet_prob;SMILES_check;Std_SMILES;Parent_SMILES
2460;2763;11523;CC1CCC(CC1)C;True;0.5526506656824542;0.1301907635146039;CC1CCC(C)CC1;CC1CCC(C)CC1;CC1CCC(C)CC1
2461;2764;98461;CC1COC(O1)C(C)C;True;0.2959940067367212;0.744309626069284;CC1COC(C(C)C)O1;CC1COC(C(C)C)O1;CC1COC(C(C)C)O1
2462;2766;36822;C1CCC2=NC=CN=C2C1;True;0.5946895820939399;0.0820130111067257;c1cnc2c(n1)CCCC2;c1cnc2CCCCc2n1;c1cnc2CCCCc2n1
2463;2767;11251;CC(C)C(=O)C;True;0.11576430801642;0.956600212934366;CC(=O)C(C)C;CC(=O)C(C)C;CC(=O)C(C)C
2464;2768;15037;C1=CN(C=C1)CC2=CC=CO2;True;0.6091511493957386;0.0045774598959735;c1coc(Cn2cccc2)c1;c1coc(Cn2cccc2)c1;c1coc(Cn2cccc2)c1
2465;2769;8125;CCCCCCC=C;True;0.4218338880318137;0.6637969665926755;C=CCCCCCC;C=CCCCCCC;C=CCCCCCC
2466;2770;5367848;CCCCCC=CCC1CCCC1=O;True;0.0817036352427514;0.9323285953963332;CCCCCC=CCC1CCCC1=O;CCCCCC=CCC1CCCC1=O;CCCCCC=CCC1CCCC1=O
2467;2773;7799;CCCCCCCC(=O)OCC;True;0.0486630699195593;0.9640671706760552;CCCCCCCC(=O)OCC;CCCCCCCC(=O)OCC;CCCCCCCC(=O)OCC
2468;2774;736172;COC1=C(C=CC(=C1)C(C(=O)O)O)O;True;0.2693834384389386;0.6371905938267185;COc1cc(C(O)C(=O)O)ccc1O;COc1c(O)ccc(C(O)C(=O)O)c1;COc1c(O)ccc(C(O)C(=O)O)c1
2469;2775;6493;CCC(C)(CC)O;True;0.3285929383925433;0.9825308669873302;CCC(C)(O)CC;CCC(C)(O)CC;CCC(C)(O)CC
2470;2776;126;C1=CC(=CC=C1C=O)O;True;0.155870827250231;0.6431168288835648;O=Cc1ccc(O)cc1;O=Cc1ccc(O)cc1;O=Cc1ccc(O)cc1
2471;2778;5388696;CC(=CC1=CC=C(C=C1)OC)C=O;True;0.125340261466735;0.9499305799257066;COc1ccc(C=C(C)C=O)cc1;COc1ccc(C=C(C)C=O)cc1;COc1ccc(C=C(C)C=O)cc1
2472;2779;7969;C1=CC=C(C=C1)S;True;0.6638979349970063;0.039538973249612;Sc1ccccc1;Sc1ccccc1;Sc1ccccc1
2473;2780;8469;CCOC(=O)C1C(O1)C2=CC=CC=C2;True;0.0445777260346557;0.6850317742955512;CCOC(=O)C1OC1c1ccccc1;CCOC(=O)C1OC1c1ccccc1;CCOC(=O)C1OC1c1ccccc1
2474;2781;62095;CC1CCC(C1C=O)C(=C)C;True;0.3347619308535204;0.3884965112384681;C=C(C)C1CCC(C)C1C=O;C=C(C)C1CCC(C)C1C=O;C=C(C)C1CCC(C)C1C=O
2475;2783;66595;CCOC1=CC2=C(C=C1)C(=CC(=O)O2)C;True;0.5556255449418386;0.3095525136807432;CCOc1ccc2c(C)cc(=O)oc2c1;CCOc1cc2c(cc1)c(C)cc(=O)o2;CCOc1cc2c(cc1)c(C)cc(=O)o2
2476;2785;234237;CCCCCCC(CCOC(=O)C)O;True;0.2409801050015357;0.7593851521050996;CCCCCCC(O)CCOC(C)=O;CCCCCCC(O)CCOC(C)=O;CCCCCCC(O)CCOC(C)=O
2477;2786;7028;CC(C(C1=CC=CC=C1)O)NC;True;0.4578336379599082;0.6376704414237355;CNC(C)C(O)c1ccccc1;CNC(C)C(O)c1ccccc1;CNC(C)C(O)c1ccccc1
2478;2789;12566;CC1=CC=C(C=C1)C2=CC=CC=C2;True;0.4527300092952466;0.4607600294028983;Cc1ccc(-c2ccccc2)cc1;Cc1ccc(-c2ccccc2)cc1;Cc1ccc(-c2ccccc2)cc1
2479;2790;576263;CCCC(=O)OCC(C)C1=CC=CC=C1;True;0.0326880325718319;0.9584094713929894;CCCC(=O)OCC(C)c1ccccc1;CCCC(=O)OCC(C)c1ccccc1;CCCC(=O)OCC(C)c1ccccc1
2480;2791;13136;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2];True;0.4844444444444444;0.999948699794152;O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2];O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2];O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2]
2481;2793;71587848;CCCCCC(=O)OC(C)(C)CC1=CC=CC=C1;True;0.2244423868569194;0.9478456850541752;CCCCCC(=O)OC(C)(C)Cc1ccccc1;CCCCCC(=O)OC(C)(C)Cc1ccccc1;CCCCCC(=O)OC(C)(C)Cc1ccccc1
2482;2799;6093170;C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2];True;0.5494444444444445;0.9969604335799837;O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+];O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+];O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+]
2483;2800;61359;CC(C)C1=CC=C(C=C1)CC=O;True;0.2812177550086691;0.4516019977774152;CC(C)c1ccc(CC=O)cc1;CC(C)c1ccc(CC=O)cc1;CC(C)c1ccc(CC=O)cc1
2484;2801;12762300;CCCCCCCCCCC1=CC=CO1;True;0.3661149913062336;0.5346778689580829;CCCCCCCCCCc1ccco1;CCCCCCCCCCc1ccco1;CCCCCCCCCCc1ccco1
2485;2802;222284;CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C;True;0.7716666666666666;0.1050375679266059;CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C;CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C;CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
2486;2803;7809;CC1=CC=C(C=C1)C;True;0.5019168312747945;0.4228971714507871;Cc1ccc(C)cc1;Cc1ccc(C)cc1;Cc1ccc(C)cc1
2487;2804;61417;CCC(=O)OCC1=CC=C(C=C1)OC;True;0.056288785412411;0.8965419617446602;CCC(=O)OCc1ccc(OC)cc1;CCC(=O)OCc1ccc(OC)cc1;CCC(=O)OCc1ccc(OC)cc1
